PassengerId,Survived
762,0
759,0
857,1
801,0
378,1
823,0
102,0
396,0
322,0
51,0
668,0
652,1
33,1
337,0
598,0
408,1
86,1
50,1
875,1
515,0
65,0
632,0
226,0
538,1
111,0
117,0
401,0
583,0
14,0
241,1
305,0
257,1
297,0
194,1
689,0
298,1
119,0
97,0
381,1
225,0
263,0
174,0
473,1
821,1
491,0
370,1
480,1
456,0
367,1
218,0
742,0
787,0
499,1
818,0
74,0
808,0
55,0
301,1
890,1
273,1
717,1
828,1
187,1
452,0
574,1
822,0
251,0
96,0
771,0
722,0
451,0
889,0
232,0
485,1
314,0
430,0
853,1
357,1
615,0
748,1
581,1
593,0
383,0
104,0
276,1
142,0
464,0
186,0
83,1
524,1
114,0
365,0
47,0
768,1
193,0
153,0
327,0
202,0
737,1
755,1
339,0
508,0
132,0
606,0
663,0
170,1
447,1
589,0
639,0
878,0
542,0
116,0
5,0
214,0
649,0
70,0
738,0
171,0
363,0
720,0
144,0
731,1
4,1
358,1
13,0
149,0
205,0
17,0
470,1
398,0
209,1
764,1
533,0
211,0
436,1
66,1
856,1
35,1
884,0
240,0
560,1
407,0
872,1
397,0
541,1
16,1
707,1
623,0
123,0
706,0
575,0
507,1
511,0
567,0
518,0
792,0
155,0
582,1
835,0
841,0
618,1
834,0
534,1
611,0
444,1
855,1
384,1
328,1
780,1
15,1
721,1
355,0
107,0
753,0
84,1
265,1
137,1
660,0
